date,total_mileage,liters,ppl,fuel_type,price,filled_tank,driving_style,roof_racks,mileage,miles_per_liter
2022-12-20,47671,22.44,139.9,E10,31.39,True,Motorway,On,,
2022-12-24,47894,24.75,138.9,E10,34.38,True,Normal,On,223.0,9.01010101010101
2023-01-02,48133,27.43,139.9,E10,38.37,True,Motorway,On,239.0,8.713087860007292
2023-01-08,48346,24.67,175.9,E10,43.39,True,Motorway,On,213.0,8.633968382650993
2023-01-09,48607,26.92,145.9,E10,39.28,True,Normal,On,261.0,9.695393759286775
2023-02-26,48775,22.18,140.9,E10,31.25,True,Mixed,On,168.0,7.57439134355275
2023-03-17,48869,10.91,174.9,E5,19.08,True,Normal,On,94.0,8.615948670944087
2023-03-17,49091,22.53,167.9,E10,37.83,True,Motorway,On,222.0,9.853528628495338
2023-03-18,49257,19.11,139.9,E10,26.73,True,Motorway,On,166.0,8.686551543694401
2023-03-25,49453,21.48,139.9,E10,30.05,True,Normal,On,196.0,9.124767225325884
2023-04-07,49674,23.9,142.9,E10,34.15,True,Normal,On,221.0,9.246861924686193
2023-04-23,49826,15.93,142.9,E10,22.76,True,Normal,Off,152.0,9.541745134965474
2023-04-24,50078,25.92,140.9,E10,36.52,True,Motorway,Off,252.0,9.722222222222221
2023-06-04,50177,15.64,132.9,E10,20.79,True,Normal,Off,99.0,6.329923273657289
2023-06-09,50357,17.21,147.9,E10,25.45,True,Motorway,Off,180.0,10.459035444509006
2023-06-12,50835,40.43000000000001,151.6,Mixed,61.3,True,Motorway,Off,478.0,11.822903784318573
2023-07-06,50991,15.27,140.9,E10,21.52,True,Motorway,Off,156.0,10.216110019646365
2023-07-06,51250,26.19,141.9,E10,37.16,True,Motorway,Off,259.0,9.889270714012982
2023-07-13,51387,12.08,137.9,E10,16.66,True,Normal,Off,137.0,11.341059602649006
2023-07-28,51597,23.3,139.9,E10,32.6,True,Normal,Off,210.0,9.012875536480687
2023-08-05,51846,27.2,139.9,E10,38.05,True,Normal,Off,249.0,9.154411764705882
2023-08-11,52081,24.6,146.9,E10,36.14,True,Normal,On,235.0,9.552845528455284
