date,total_mileage,liters,ppl,fuel_type,price,filled_tank,driving_style,roof_racks
2022-12-20,47671,22.44,139.9,E10,31.39,True,Motorway,On
2022-12-24,47894,24.75,138.9,E10,34.38,True,Normal,On
2023-01-02,48133,27.43,139.9,E10,38.37,True,Motorway,On
2023-01-08,48346,24.67,175.9,E10,43.39,True,Motorway,On
2023-01-09,48607,26.92,145.9,E10,39.28,True,Normal,On
2023-02-26,48775,22.18,140.9,E10,31.25,True,Mixed,On
2023-03-17,48869,10.91,174.9,E5,19.08,True,Normal,On
2023-03-17,49091,22.53,167.9,E10,37.83,True,Motorway,On
2023-03-18,49257,19.11,139.9,E10,26.73,True,Motorway,On
2023-03-25,49453,21.48,139.9,E10,30.05,True,Normal,On
2023-04-07,49674,23.9,142.9,E10,34.15,True,Normal,On
2023-04-23,49826,15.93,142.9,E10,22.76,True,Normal,Off
2023-04-24,50078,25.92,140.9,E10,36.52,True,Motorway,Off
2023-06-04,50177,15.64,132.9,E10,20.79,True,Normal,Off
2023-06-09,50357,17.21,147.9,E10,25.45,True,Motorway,Off
2023-06-09,50580,6.77,147.9,E10,10.01,False,Motorway,Off
2023-06-12,50690,24.01,156.9,SUP,37.67,False,Motorway,Off
2023-06-12,50835,16.42,143.9,E10,23.63,True,Motorway,Off
2023-07-06,50991,15.27,140.9,E10,21.52,True,Motorway,Off
2023-07-06,51250,26.19,141.9,E10,37.16,True,Motorway,Off
2023-07-13,51387,12.08,137.9,E10,16.66,True,Normal,Off
2023-07-28,51597,23.3,139.9,E10,32.6,True,Normal,Off
2023-08-05,51846,27.2,139.9,E10,38.05,True,Normal,Off
2023-08-11,52081,24.6,146.9,E10,36.14,True,Normal,On
2023-08-15,52263,20.7,144.9,E10,29.99,True,Normal,On
2023-08-30,52478,24.03,150.9,E10,36.26,True,Normal,On
2023-09-08,52712,25.97,149.9,E10,38.93,True,Normal,On
2023-09-15,52934,26.07,153.9,E10,40.12,True,Normal,On
2023-09-19,53071,13.2,146.9,E10,19.39,True,Normal,On
2023-09-29,53303,27.19,152.9,E10,41.57,True,Motorway,On
2023-10-01,53566,13.94,181.9,E10,25.36,False,Motorway,On
2023-10-02,53698,26.14,153.9,E10,40.23,True,Motorway,On
